title,description
Ending the eviction ban as housing crisis deepens,"Sir, – Taoiseach Leo Varadkar says “There needs to be at least 40,000 homes built every year and we are ramping up to that under the Housing for All plan” (“Varadkar reveals deficit of 250,000 homes in State, admitting crisis will take time to solve”, News, March 8th). On display in my local library"
Housing pipeline ‘encouraging’ but downside risks to supply remain,"Rising interest rates and elevated construction costs are the biggest threats to housing supply in 2023, but the recovery in the pipeline of new units post-Covid coupled with “robust” mortgage demand will help to buttress the market this year, according to the the Banking and Payments Federation of "
The housing crisis – solutions and political accountability,"Sir, – As Government and society grapple with the issue of a sustained exit of primarily small landlords from the market, there is an obvious attraction to lobby for consideration of fiscal policy interventions only to both private landlords and renters in an attempt to plug the leak and to retain t"
Why does Ireland have Europe’s most expensive housing market?,"Ireland has the highest housing costs in the European Union on the back of some of the fastest growing rents across the bloc, while the number of people owning their own home continues to decline, a new report from Eurostat on housing trends across the EU has found. What might be a surprise, however"
Eviction ban and a deepening housing crisis,"Sir, – The debate over the current eviction ban throws once again into the limelight the existing unwieldy and complex tenancies legislation, namely the Residential Tenancies Act 2004, as amended. This poorly drafted legislation has now been amended so many times that it would take a forensic lawyer"
Dáil live: Political betrayal of young people evident in ‘housing disaster’ - new Social Democrats leader Holly Cairns,"Political choices made by successive governments have resulted in the aspirations and dreams of an entire generation being either “diminished or destroyed”, the new leader of the Social Democrats Holly Cairns has said. Speaking during her first Leaders’ Questions in the Dáil on Wednesday, Ms Cairns "
"New homes schemes starting in Dublin: Selected apartments, duplexes and houses from Swords to Shankill","This overview of new and forthcoming residential developments in Co Dublin includes 48 schemes from Swords to Shankill, and from Cherrywood to Citywest. Most include apartments and duplexes, but houses remain popular, particularly in parts of Dún Laoghaire-Rathdown and in farther suburbs where new p"
Why is it so difficult to find a second-hand house on the Irish market?,"The Irish housing market, bedevilled by lack of supply, is showing increasing signs of dysfunction. While there has been a lot of focus on new housing, there is also a supply crunch in the second-hand market. There were just 15,140 second-hand properties for sale in January, according to new figures"
Ballymore cuts dozens of jobs amid UK housing slump,"Sean Mulryan’s Ballymore Properties has offered redundancies to 30 of its roughly 700 employees in London over the past three months, according to sources. One of the UK capital’s biggest homebuilders, the company is the latest developer to cut jobs in the face of a housing slump. All affected emplo"
Housing starts rise in January despite increase in construction costs,"Housing starts, one of strongest indicators of future supply, rose significantly in January, suggesting the impact of construction inflation may be moderating. Commencement notices for the construction of 2,108 new residential homes nationally were received by the Building Control Management System "
"Surge in house prices pushes more people into inheritance tax net, new figures show","Rising house prices over the past decade have pushed a growing number of people into the inheritance tax net, according to new figures from Revenue. Dublin residents are by far the biggest contributors to the tax intake, with Galway/Roscommon reporting the greatest increase in taxpayers in the 10 ye"
Saving for a new house in 2023? Here is everything you need to know,"There’s no avoiding the fact that it’s now more expensive to buy your first home than it was this time last year. Yes, property prices continue to rise, albeit at a more muted pace, with price growth of 7.8 per cent reported in the year to December – a deceleration from the 15 per cent reported earl"
Leitrim vacant house figures: Sentimentality and demographics among reasons for county’s predicament,"A study suggesting that a not-insignificant chunk of Co Leitrim’s housing stock is vacant came as a shock to Joe Brady, mostly because the Carrick-on-Shannon-based estate agent cannot find enough properties to meet demand among those looking to buy or rent in the area. The Central Statistics Office "
"UK house prices are falling for first time in over a year, official statistics show","UK house prices have slipped back in official data for the first time in more than a year as a surge in mortgage rates cools demand in the property market. The average value of a home fell to £294,329 (€332,079) in December, a 0.4 per cent drop from the previous month, according to the Office for Na"
Irish house price growth slows to 7.8% as market continues to cool,House price inflation continues to slow in the face of higher interest rates and broader cost-of-living pressures. The Central Statistics Office’s (CSO) latest Residential Property Price Index shows the annual rate of increase in house prices fell to 7.8 per cent in December. This was down from 8.5 
Ireland’s housing crisis: why doesn’t the State step in and build?,"It’s perhaps the most frequently asked question of Ireland’s housing crisis. Why doesn’t the State step in and build? Whether the chronic undersupply or the lack of affordability meet the definition of market failure is immaterial, housing is now a block on the State’s future development. Perhaps th"
"House price growth in Ireland is falling, will it turn negative?","The property industry here insists on Irish exceptionalism. Because of the mismatch between supply and demand, they insist the drag from higher interest rates won’t be enough to trigger a reversal in prices, like the ones we’re seeing in the UK, the United States, Canada, Australia, New Zealand (th"
London housing market gets the January blues as prices hit a three-year low,"London house prices flatlined in January, recording their worst performance in more than three years, one of the UK’s biggest mortgage lenders said. The cost of an average home in the capital hit £530,396 (€596,963) in January, unchanged from a year earlier, according to Halifax. This was the slowes"
"Housing shortage now a ‘critical barrier’ to growth in Irish economy, Ibec warns","Housing has become a “critical barrier” to continued growth and development in Ireland, employers’ group Ibec has warned. In a report on the housing crisis, the organisation said the Government must urgently deliver policies to speed up the delivery of housing while simultaneously adopting measures "
"Government missed its social housing targets in 2022, Taoiseach says","The Government missed its social housing targets last year, Taoiseach Leo Varadkar has told the Dáil. Mr Varadkar also said the housing crisis is holding Ireland back as a country, economy and society. The Taoiseach was responding to Social Democrats co-leader Catherine Murphy during Leaders’ Questi"
Joshua Tree ‘Invisible House’ where Lizzo and The Weeknd have stayed on the market for $18m,"The Invisible House, an iconic mirror-walled mansion in the California desert that has hosted celebrities like Lizzo, Alicia Keys, Ariana Grande and The Weeknd, has gone on the market for $18 million, or about €16.75 million. The house, which was built in 2019 by the film producers Chris and Roberta"
Could Swedish house price plunge hold lessons for Ireland?,"House prices across the country are back at record highs, with official figures showing that after years of rapid growth, the cost of a house is now higher than what it was back in the Celtic Tiger boom. Latest figures from the Central Statistics Office show that the national house price index is no"
"Relying on private sector to build houses a ‘vulnerability’, officials say","Reliance on the private sector to deliver housing is a “vulnerability”, particularly with 2023 delivery targets coming under pressure, the Government’s spending department has said. Concerns about the challenges in housing and other areas are contained in a briefing document prepared by the Departme"
"UK house prices in longest slump since 2008, Nationwide says","UK house prices fell for a fifth month in January, the longest string of declines since the financial crisis more than a decade ago, Nationwide Building Society said on Wednesday. The mortgage lender said average home costs fell 0.6 per cent this month and by a revised 0.3 per cent in December, stee"
Dún Laoghaire ‘locals’ prioritised for 30% of affordable housing in area,Prospective homebuyers will have to have lived in Dún Laoghaire-Rathdown for at least eight years to be prioritised for affordable housing in that region under new rules approved by county councillors. Eligibility criteria to buy discounted homes under the State-backed affordable housing purchase sc
State’s First Home Scheme ‘playing catch-up’ with rising house prices,"The State’s scheme for helping first-time buyers to bridge the gap between what they can pay for a home and the price of a property has been “playing catch-up” with rising house prices. Michael Broderick, the chief executive of the First Home Scheme (FHS), made the remarks as he provided an update o"
Irish house price growth slows to 8.6%,"House price inflation slowed to 8.6 per cent in November, down from 9.8 per cent the previous month, as higher mortgage costs continued to cool the market. The latest data from the Central Statistics Office (CSO) shows the annual rate of increase in Dublin fell to 7 per cent in November, down from 8"
"David McWilliams: Decades of recurring housing crises remains a reality - penalising the young, rewarding the old","The Housing Commission now believes that Ireland might need to build as many as 62,000 homes per year until 2050 , rather than the 33,000 figure the Government suggests. The population is surging and, as pointed out here a few weeks back, Ireland needs to get into what could be termed the “10 Mill"
Will higher interest rates trigger a fall in Irish house prices?,"The uptick in interest rates is affecting current and aspiring homeowners. With fixed-rate mortgage deals significantly less attractive than they were this time last year, many first-time buyers will be priced out from segments of the market they might have afforded previously. Equally, those on var"
Housing market slows but buyers still ‘stretched’ by high prices,"Dublin’s housing market is slowing faster than the rest of the country but homebuyers everywhere are still more “stretched” now that at any stage over the last 14 years, according to a new report. The fourth-quarter housing report from property website Myhome.ie shows that asking prices fell 0.4 p"
‘I just want to go home’: Housing shortage threatens very existence of island life,Every Friday Angela McCarthy makes the two hour drive from where she lives just outside Cork City to Bere Island in the far west of the county where she grew up. McCarthy like many islanders would like to return to Bere to live permanently but a lack of available housing means that for now at least 
Wicklow site with full planning permission for 20 houses seeks €2m,"Agent Cushman &amp; Wakefield is guiding a price of €2 million for a 0.98-hectare (2.41-acre) site with planning permission for 20 houses in the village of Roundwood, Co Wicklow . The lands come for sale with full approval for the development of a scheme of dormers-style units comprising two two-be"
"Housing demand may be ‘cooling’ despite 6% increase in asking prices, report says","Asking prices for homes increased by 6 per cent nationally last year despite evidence of a slowdown in the second half of 2022 following “an unprecedented couple of years” of high demand and low supply, a new report by Daft.ie indicates. In its final quarterly housing report of 2022, the property we"
Central Bank begins search for site to house new cash facility,The Central Bank has initiated a search for a site to accommodate the development of a new cash-management facility. The Irish Times understands that commercial real estate adviser Lisney has been engaged to secure a suitable 15-acre plot located within a 30-minute drive of Dublin Airport to facilit
Australia’s housing crisis is getting worse: ‘We fear there is a tsunami of homelessness about to hit’,"Belinda has applied for more than 100 rental homes in the past year and been rejected every time. The 39-year-old Australian single mother of four now lives in a temporary shelter in Campbelltown, southwest of Sydney, and has six months to find a home that costs under 500 Australian dollars (€310) a"
"UK house prices may decline by 8% this year, Halifax says","UK house prices are on track to drop 8 per cent this year, the most since 2011, after declining for four months in a row, one of the nation’s biggest mortgage lenders said. Halifax said its measure of property prices fell 1.5 per cent last month after a 2.4 per cent decline in November. The figures "
Schemes to help first-time buyers may be fuelling house prices – OECD,"Government schemes to help first-time buyers get on the property ladder may increase house prices in the short term, the Organisation for Economic Co-operation and Development (OECD) has warned. In its latest report on the Republic, the Paris-based agency highlighted housing affordability as a major"
How can we tell if Irish house prices are overvalued?,To decide what might happen to house prices next year we need first to try to work out whether prices are overvalued at the moment – and then look at what factors will affect the outlook into 2023. Neither is straightforward. So what do the economics say? Are house prices currently too high? Worki
House prices fall slightly in Dublin city as interest rates and energy costs bite,"Rising interest rates and higher energy costs have combined to cause the average price of a three-bed semi-detached house in Dublin city to fall for the first time in three years, according to the latest data from an index maintained by the REA real estate group. Nationally, the price of a three-bed"
"Taoiseach, Tánaiste welcome ESRI housing report findings","Taoiseach Micheál Martin has welcomed the findings of an Economic and Social Research Institute (ESRI) report which indicates that house prices could fall by 12 percent by 2030 if output was increased by 10,000 units a year for the remainder of this decade. Speaking at the launch of the Macroom Bypa"
How EU made a fundamental error when determining Irish house prices are not overvalued,"Every year the European Commission produces what it calls an Alert Mechanism Report. The purpose – in the commission’s words – is to “detect, prevent and correct imbalances that are adversely affecting, or have the potential to adversely affect, the proper functioning of the economy of a member stat"
Cooling housing market presents new challenges,"There is no doubt that the housing market cooled a bit in the final quarter, with selling prices easing back a bit. That much is clear from surveys published during the week by Myhome.ie and Daft.ie . But it still remains to be seen how much of this is seasonal and what will happen in the key spr"
Newton Emerson: Britain has been helping to house key workers for two decades. What about Ireland?,"Between 2003 and 2006, bank surveys tracked house prices moving beyond the reach of key workers in Dublin, Galway, Cork, Waterford and finally Limerick. This was widely reported at the time, with newspapers demanding special housing provision be considered. But the government ignored it; nothing was"
"‘A lot done, more to do’, Minister for Housing tells conference","There are “grounds for optimism” about housing delivery next year despite the significant cost and economic pressures the construction sector is facing, Minister for Housing Darragh O’Brien has told a conference in Dublin. Despite signs that the market could be slowing amid a broader contraction in "
House prices ‘set to rise’ despite slowdown in market,"There will be little let-up in house prices for the foreseeable future, a major lobby group warned, as structural issues are set to keep pushing demand for homes higher despite the recent slowdown in the property market. While soaring inflation and the economic downturn have seen house price growth "
Fianna Fáil and Fine Gael convey a collective tin ear on housing,The bleak midwinter lends the time to search the soul. The following scene offers a lodestar. It’s a wild and windy Friday night and the sofa beckons for a night’s viewing. The Nine O’Clock News headlines an exchequer surplus of €12.1 billion – almost €5 billion of it from a corporation tax windfall
"Irish houses ‘not overvalued’ with prices driven by undersupply, says European Commission","Housing in Ireland is “not overvalued” as high prices are driven by an undersupply of homes, the European Commission has said, in contrast to other EU countries at risk of a painful correction as rising interest rates collide with inflated prices. Analysis by commission officials released on Tuesday"
"How to make housing more affordable, from VAT cuts to planning reform","The challenge Unaffordable housing is a near-constant concern in Ireland, and several recent developments will affect property prices further. For one, as part of its efforts to rein in runaway inflation, the European Central Bank (ECB) has raised interest rates by 2 percentage points since July, w"
"State needs to build 50,000 homes a year to solve housing crisis - property sector survey","The real estate sector believes the State needs to build 50,000 new homes a year to solve the housing crisis, according to a new survey. The majority of industry professionals also believe the introduction of a residential zoned land tax will “disincentivise” land hoarding, seen by many as an impedi"
Residential land tax will unjustly penalise many landowners while pushing up the price of housing,"Our housing and property market is in deep difficulty, with the Central Bank of Ireland estimating 34,000 new homes a year over the next decade must be built to keep up with demand. The Government’s number one policy priority under “Housing for All” was to maximise new housing output. It recently in"
Buying a home online: ‘It was surreal to walk up to the house you’d only seen in a picture’,"For more than 30 years, Kevin Pruitt and his wife, Eileen, lived and thrived in Austin, Texas. The the fast-paced city, often ranked as one of the best places to live in the United States, had served them well. They had both built highly successful careers – Kevin as an award-winning film-maker, Eil"
"Our 12 favourite houses of 2022, from castle to clifftop mansion, and from €615k to €10m","Drumleck House, Ceanchor Road, Baily, Howth, Co Dublin Status: On the market since September, seeking €10 million. Agent: Gallagher Quigley. One of my favourite discoveries as a student at University of Limerick in the early 1990s was the Hunt Museum on the top floor of the main building – a su"
ESRI modelling signals boosting housing supply would calm prices,"There is a school of thought among some Irish housing activists that dramatically increasing housing supply will not necessarily lead to more affordable homes for people. They argue that many of the new units built or planned in recent years, especially in Dublin, are pitched too expensively to make"
It’s depressing that two big trends driving Ireland’s housing crisis continue unabated,"The most depressing thing about Ireland’s housing crisis is that the two core trends that drive it – prohibitive prices and chronic undersupply – are continuing, almost unabated. Many will argue that one drives the other and that if the basic laws of supply and demand were allowed to play out we wou"
Housing targets under major threat amid slump in homebuilding,"The Government’s landmark plan to address the housing crisis could be derailed by a marked slowdown in building activity, experts believe. Concerns are focusing particularly on the construction of apartments from next year onwards. Figures published by the Central Statistics Office (CSO) on Thursday"
Dublin housing deemed ‘severely’ unaffordable,"During the pandemic, housing in Dublin moved from being “seriously” unaffordable to “severely” unaffordable, according to US think tank Demographia. The distinction might seem meaningless in the context of our current housing woes but it’s based on the ratio of income to house prices, which captures"
Sinn Féin to bring forward Dáil motion declaring housing emergency,Sinn Féin plans to bring forward a motion in the Dáil this week declaring a housing emergency in the State. The party’s housing spokesman Eoin Ó Broin said he would use the party’s private member’s time in the Dáil to propose the motion. He described a response from Minister for Housing Darragh O’Br
Taoiseach ‘painfully out of touch with reality’ on housing - McDonald,"The Government’s housing target of 24,600 house completions this year will be surpassed, Taoiseach Micheál Martin has said, as he accused Sinn Féin of playing a “populist game” on the issue. During sharp exchanges with the Sinn Féin leader in the Dáil on Wednesday, Mr Martin said that the Government"
UK house prices post biggest slide since mid-2020,"British house prices tumbled 1.4 per cent in November compared with October, the biggest monthly drop since June 2020 and the clearest sign yet that the housing market is cooling rapidly, data from mortgage lender Nationwide showed on Thursday. A Reuters poll of economists had pointed to a fall of 0"
"Government needs to ‘do much more on housing’, says Varadkar at FG Ardfheis","The Government needs to do “much more on housing” and increasing home ownership will be a priority for the next two years, Tánaiste Leo Varadkar has said. With less than a month before he resumes the office of Taoiseach, Mr Varadkar said the Coalition’s plan to tackle the housing crisis must be acce"
"€2bn underspend on housing budget this year, Sinn Féin claims","The Government is “sitting on” an underspend of €2 billion in this year’s housing budget at a time when there is “a sense of desperation everywhere”, Sinn Féin leader Mary Lou McDonald said on Tuesday. Ms McDonald said it “beggars belief” that the Government claims its housing policies are working w"
"UK house prices fall fastest in 14 Years, Halifax says","UK house prices fell at the sharpest pace in 14 years in November after interest rates surged, reducing the affordability of properties, Halifax said. The mortgage lender said prices fell 2.3 per cent, the third consecutive decline. A typical property in the UK now costs £285,579 (€331,358) down fro"
"Housing targets expected to be increased next year, says Tánaiste","Housing targets will be reviewed by the Government next year, with the expectation they will be increased, Tánaiste Leo Varadkar has said. Mr Varadkar said there is a deficit of between 70,000 and 80,000 homes across the State and that “way more housing” is needed. The Tánaiste was responding to Sin"
UK house prices are falling: can we expect the same here?,"Since the big smash-up of 2008, the British and Irish property markets have roughly shadowed each other, rising more or less consistently in the face of supply constraints and, more recently, on the back of pandemic-related buying. That’s not to say the markets are the same - the undersupply here an"
UK house-buying demand falls at fastest pace since 2020 lockdown,"UK housing market demand in October fell at the fastest pace since the start of the Covid-19 pandemic and registered one of the largest drops in more than 20 years as mortgage rates surged, according to a closely watched survey. The Royal Institution of Chartered Surveyors’ new buyer inquiries index"
What can we actually do to fix the housing crisis?,"The housing crisis is one of the most enduring and most intractable issues the current Government has had to deal with. It is also a crisis that successive governments that came before this one have had to deal with. There have been few, if any, successes. Tens of thousand of people are on social ho"
What does the 2023 housing market have in store? Property experts make their predictions,"Orla McMorrow, deputy chief executive at DNG Group I believe that the market will remain robust next year, but the level of price growth will continue to moderate both in Dublin and nationwide, with low single-digit house price growth anticipated for the year ahead. The Irish economy remains well p"
"New homes target of 24,600 to be ‘exceeded’ but social and affordable housing goals in doubt","The number of new homes built in 2022 is expected to exceed the Government’s target of 24,600 but questions remain as to whether delivery targets for social and affordable housing will be hit. Taoiseach Micheál Martin and Minister for Housing Darragh O’Brien brought the latest quarterly progress rep"
A former corporation house in Churchtown gets a stylish makeover,"Having rented for years in Dublin 14, Thomas Cashin and Emily Lawn knew that they liked the area and would like to make a permanent home there. Finding somewhere to buy however, was not going to be an easy task. Over the course of a year or two, they viewed a huge amount of properties and even put b"
New housing requires new ways of thinking,"The warning lights are now flashing for the next phase of the Irish housing crisis. Commencement figures – the data which tracks the number of housing units on which construction has begun – peaked some months ago and are now falling rapidly. From a high of 35,000 commencements in the spring, the fi"
Dublin councils predict dramatic shift from leased social housing to new-builds,"Two of the largest councils in the State will tell a parliamentary committee on Tuesday that they will deliver almost 19,000 new social and affordable houses over the next five years. Both Dublin City Council (DCC) and Dun Laoghaire Rathdown County Council (DLRCC) will disclose the the Oireachtas Co"
Opposition parties claim mortgage rule changes may push up house prices,"The changes in Central Bank mortgage lending rules could lead to higher house prices and increase indebtedness in Irish society, Sinn Féin has warned. Reaction to the rule changes – which will allow prospective homeowners borrow four times their income rather than 3.5 times – was almost uniformly ne"
The Irish Times view on housing: issue of delivery,"While the Government will have been content with aspects of the latest results from the Irish Times/Ipsos opinion poll, some of the findings released today should give it pause for thought. While it is clear that voters are giving the Coalition some credit for the budget measures to support househol"
Cliff Taylor: The housing market is heading for a viability squeeze,"No wonder the Government parties are starting to get really edgy about the housing market. If there is to be noticeable progress before the next general election, then housing starts need to rise in the months ahead – and quickly. But while there has been some increase as the industry got going afte"
"The most expensive Irish houses sold in 2022, from Dublin to Cork and Meath to Galway","While the ongoing and chronic imbalance between supply and demand continues to drive prices beyond the reach of many of those looking to buy homes in the wider residential property market, there appears to be no shortage of money among those in the hunt for residences in the €1 million-plus bracket."
"To build or not to build: Rare riverside house and grounds in Castleconnell on the market for €975,000","From the mid-18th century, a building boom began in the village of Castleconnell, Co Limerick, with the erection of fine Georgian piles along the river Shannon. It was not just riparian aesthetics that appealed to the families who erected these distinctive homes on private grounds, but the bonus of "
Is the Central Bank really giving us more money to buy houses?,"The Central Bank is giving me more money to buy a house, is it? That’s not what’s happening at all but it did make a big announcement that might lead you to being able to borrow more money from a bank if you are in the market for a house. Right. So, can you tell me more about this big announcement"
Dublin City Council paid €40m for social housing since start of 2021,Dublin City Council paid out €40 million to private developers since the start of 2021 to secure 139 residential units for social housing under Part V agreements. The spend of €15.16 million on 71 homes to date for 2022 follows a €24.96 million outlay on 68 Part V homes in 2021. The average spend 
Land hoarding adding unwelcome premium to the price of housing,"Most of the apartment building in Dublin is being facilitated through forward-purchase deals with investment funds. Investors typically pay a premium to buy in bulk as it is easier and cheaper to manage multiple units in one location. If institutional buyers pay a higher price for property, the high"
